Game_ID,Game_Domain_ID,Game_Domain_1,Game_Domain_2,Game_Duration,Game_Score,Game_Feedback_A,Game_Feedback_B,Round_Nr,Round_Duration,Round_Scores,Round_Images_A,Round_Images_B,Message_Nr,Message_Timestamp,Message_Turn,Message_Agent_ID,Message_Agent_Label,Message_Speaker,Message_Type,Message_Text
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",0,1970-01-01 00:00:00.000000,0,AMDX0UNZS4A1G,mturk_agent_1,A,text,Do you have a picture of a large truck behind a dark blue car?
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",1,1970-01-01 00:00:09.460987,1,A6MWJK1YEY5L2,mturk_agent_2,B,text,yes
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",2,1970-01-01 00:00:13.011997,2,AMDX0UNZS4A1G,mturk_agent_1,A,selection,<selection> <com> car_truck/COCO_train2014_000000151371.jpg
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",3,1970-01-01 00:00:14.881786,2,A6MWJK1YEY5L2,mturk_agent_2,B,selection,<selection> <com> car_truck/COCO_train2014_000000151371.jpg
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",4,1970-01-01 00:00:17.801515,2,AMDX0UNZS4A1G,mturk_agent_1,A,text,You go next
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",5,1970-01-01 00:00:37.672070,3,A6MWJK1YEY5L2,mturk_agent_2,B,text,do you have a picture of a blue pickup truck sitting on grass?
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",6,1970-01-01 00:00:49.301775,4,AMDX0UNZS4A1G,mturk_agent_1,A,text,no
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",7,1970-01-01 00:01:02.661784,5,A6MWJK1YEY5L2,mturk_agent_2,B,text,Ok you go ahead
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",8,1970-01-01 00:01:18.684348,6,AMDX0UNZS4A1G,mturk_agent_1,A,text,do you have a picture of a blue truck with lots of colorful luggage on it?
333U7HK6IADTMJB5OO2Z5F8W2VXJDB39N5ACM9HFLD541M7L2HGFBIKAD9PB,42,car,truck,1178,30,col:5<&>partner_u:5<&>self_u:5<&>text:Surveywentsmoothly.,col:5<&>partner_u:5<&>self_u:5<&>text:,1,219,6,"[['car_truck/COCO_train2014_000000075299.jpg', False], ['car_truck/COCO_train2014_000000468408.jpg', False], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000379766.jpg', True]]","[['car_truck/COCO_train2014_000000565975.jpg', True], ['car_truck/COCO_train2014_000000056549.jpg', True], ['car_truck/COCO_train2014_000000137150.jpg', False], ['car_truck/COCO_train2014_000000151371.jpg', True], ['car_truck/COCO_train2014_000000237372.jpg', False], ['car_truck/COCO_train2014_000000075299.jpg', False]]",9,1970-01-01 00:01:22.550548,7,A6MWJK1YEY5L2,mturk_agent_2,B,selection,<selection> <dif> car_truck/COCO_train2014_000000056549.jpg
