A18ILYDB04VEE9; 0.2; 3PW9OPU9PRIZOSXL1ACC5WL7FJS12Y; long_bonus
A18ILYDB04VEE9; 1.75; 3PW9OPU9PRIZOSXL1ACC5WL7FJS12Y; payment
A13BZCNJ0WR1T7; 0.2; 324G5B4FB4663499B3P7NIJ5L7870H; long_bonus
A13BZCNJ0WR1T7; 1.75; 324G5B4FB4663499B3P7NIJ5L7870H; payment
A17PAE30BGBO1T; 0.8; 3OVR4I9USQHX8AWPQ3LFZCQD79FQ4D; long_bonus
A17PAE30BGBO1T; 1.75; 3OVR4I9USQHX8AWPQ3LFZCQD79FQ4D; payment
A3UFERVCN9A8IH; 0.8; 3B3WTRP3DC0HDX0G5NR5K23QDVF297; long_bonus
A3UFERVCN9A8IH; 1.75; 3B3WTRP3DC0HDX0G5NR5K23QDVF297; payment
AROOCBM042SJD; 0.3; 3NOKK93PR26Q393D6I2SEHDQ1VLEEV; long_bonus
AROOCBM042SJD; 1.75; 3NOKK93PR26Q393D6I2SEHDQ1VLEEV; payment
A1I1Z5HLH9T9UX; 0.3; 3KAKFY4PGV0Z9GP2DHBNG57L2Z43I4; long_bonus
A1I1Z5HLH9T9UX; 1.75; 3KAKFY4PGV0Z9GP2DHBNG57L2Z43I4; payment
ACGZDI611LU0I; 0.1; 3H0W84IWBL0FCD8ISOMSDOC9GKCREM; long_bonus
ACGZDI611LU0I; 1.75; 3H0W84IWBL0FCD8ISOMSDOC9GKCREM; payment
A248LF7KKHXZ14; 0.1; 3DYGAII7PM6JX3I8OND32A18Y5CQP5; long_bonus
A248LF7KKHXZ14; 1.75; 3DYGAII7PM6JX3I8OND32A18Y5CQP5; payment
AVD6HMIO1HLFI; 0.8; 3LRKMWOKB6FWJOIT9LL4XQ5JSY5Z2L; long_bonus
AVD6HMIO1HLFI; 1.75; 3LRKMWOKB6FWJOIT9LL4XQ5JSY5Z2L; payment
A209H73TTW9F87; 0.8; 326O153BMJWLB3PDANR88ZV51JMED4; long_bonus
A209H73TTW9F87; 1.75; 326O153BMJWLB3PDANR88ZV51JMED4; payment
A1O7WUQDKPZGH4; 0.25; 3F0BG9B9MQL30Z5UJB0GFADPXKP7YK; multiple_bonus
A1O7WUQDKPZGH4; 1.75; 3F0BG9B9MQL30Z5UJB0GFADPXKP7YK; payment
A2F2DDH12YU4AK; 1.75; 3NLZY2D53QNT6I3AWVKWLTSOTVDLQ4; payment
ACGZDI611LU0I; 0.25; 3K4J6M3CXFRLXAISW8QUI18BTXEAGR; multiple_bonus
ACGZDI611LU0I; 1.75; 3K4J6M3CXFRLXAISW8QUI18BTXEAGR; payment
A13BZCNJ0WR1T7; 0.25; 3J88R45B2HW360JKA18VWIX1V80XPA; multiple_bonus
A13BZCNJ0WR1T7; 1.75; 3J88R45B2HW360JKA18VWIX1V80XPA; payment
A17PAE30BGBO1T; 0.25; 352YTHGROWBKVHXM7DYLQYYCGNO4H2; multiple_bonus
A5NE8TWS8ZV7B; 0.25; 3JBT3HLQF90SBVJZBJWGT3DC38YZP9; multiple_bonus
A17PAE30BGBO1T; 1.5; 352YTHGROWBKVHXM7DYLQYYCGNO4H2; long_bonus
A17PAE30BGBO1T; 1.75; 352YTHGROWBKVHXM7DYLQYYCGNO4H2; payment
A5P4NZBHLQIU5; 0.25; 3IXEICO793HOFDSVQV8P1FLEN7MT6H; multiple_bonus
A5P4NZBHLQIU5; 1.5; 3IXEICO793HOFDSVQV8P1FLEN7MT6H; long_bonus
A5P4NZBHLQIU5; 1.75; 3IXEICO793HOFDSVQV8P1FLEN7MT6H; payment
A3OVS1GP2W56FG; 0.5; 32XVDSJFP0VWKHJAUWVAPO9ADVY2MK; long_bonus
A3OVS1GP2W56FG; 1.75; 32XVDSJFP0VWKHJAUWVAPO9ADVY2MK; payment
